log_id,timestamp,staff_id,staff_name,action,resource_type,resource_id,nhs_number,ip_address,system,authorized,access_reason,created_at
8a8952c8-41f4-4459-8a00-621d08566250,2025-04-26 06:08:44,16577a27-da14-481b-88f6-3530ada23ac3,Alison Baker,View Test Results,Patient Record,267fd393-da77-4f21-9bf7-8e25b8e879d0,632-195-2972,181.71.32.113,Laboratory System,True,Clinical Care,2025-04-26 06:08:44
a7d0dd41-0758-4ad1-8a26-87f9f1a10fc5,2025-04-18 23:11:09,6dc32cc0-0346-4f3a-b289-28b3b4caa228,Dominic Bond,Add Medical Notes,Patient Record,a4af7db3-c7b5-48d6-a356-086502bbbb29,717-158-7745,148.9.17.59,Electronic Health Record,True,Clinical Care,2025-04-18 23:11:09
e23c7cef-66bd-49ba-b1b4-e54c82e5f7ec,2025-04-26 15:37:40,db572e88-202c-4988-a12c-607d239df35b,Terence Hopkins,Prescribe Medication,Patient Record,b848312f-6fc6-4205-823e-6b64db845e7d,535-257-4542,203.98.19.29,Laboratory System,True,Clinical Care,2025-04-26 15:37:40
6404bd3e-a447-4b71-819e-44cedaa712e1,2025-03-31 05:21:37,c58dac46-9dc8-480b-8abe-02de65bc6f78,Alexandra Bibi,Schedule Appointment,Patient Record,ecb7dfb6-8a00-49c6-b09c-b658c00a253b,835-801-2314,221.204.92.215,Patient Portal,True,Clinical Care,2025-03-31 05:21:37
334487de-ec95-4da6-a333-68bb835ce2af,2025-04-21 03:53:13,1d5e89e7-61ac-4dad-b572-de6a62088f5c,Christopher Kelly,View Test Results,Patient Record,7ac8eebc-f4d8-4dc4-be3d-7358c52c12fc,549-640-4240,78.90.71.254,Laboratory System,True,Clinical Care,2025-04-21 03:53:13
91163b8a-a95f-4294-896a-52c82afbc9d9,2025-04-20 04:33:37,852bcb5e-708f-4d48-96d2-c19d3072a23d,Marilyn Gray,Update Patient Demographics,Patient Record,40c1a845-3acd-4912-93cf-e1792c0c66cf,573-155-6533,213.96.244.27,Patient Portal,True,Clinical Care,2025-04-20 04:33:37
1ed53269-fcf2-406c-a6aa-f14b823ba243,2025-04-19 05:04:09,31785a8c-727f-4157-97e4-fab469560461,Scott Mitchell,View Test Results,Patient Record,0f425f6d-c4c0-4607-bd61-d941f16b161b,990-245-9238,61.188.15.207,Pharmacy System,True,Clinical Care,2025-04-19 05:04:09
eee78d7c-00c4-492d-bef7-48ea058ff2ce,2025-04-21 03:59:54,deead945-ee6f-4318-83f7-3c84482a29fc,Scott Morris,Schedule Appointment,Patient Record,8b53fba5-75e8-4e1f-ad89-57d58d823ea7,701-460-3625,140.21.100.28,Pharmacy System,True,Clinical Care,2025-04-21 03:59:54
91146cd8-5bcb-49cf-9fc3-8522804d56d3,2025-04-07 06:38:21,db572e88-202c-4988-a12c-607d239df35b,Terence Hopkins,Add Medical Notes,Patient Record,32cdf292-b73e-4442-844b-9b59778adf43,512-947-8963,154.195.109.254,Patient Portal,False,Unauthorized Access,2025-04-07 06:38:21
42a4d715-c13d-4bb3-b40a-ed21bf2bccc6,2025-04-18 22:25:51,c58dac46-9dc8-480b-8abe-02de65bc6f78,Alexandra Bibi,Prescribe Medication,Patient Record,afda391c-d993-452b-bd3e-6c679d4c5b80,713-442-6088,82.31.78.245,Patient Portal,True,Clinical Care,2025-04-18 22:25:51
adb3ac0e-d178-4998-adb3-1c05738f09a1,2025-04-10 09:03:52,31785a8c-727f-4157-97e4-fab469560461,Scott Mitchell,Update Patient Demographics,Patient Record,2930bb24-6067-4b6b-b312-286aa0903d12,575-896-4633,108.255.183.60,Pharmacy System,True,Clinical Care,2025-04-10 09:03:52
bc0d30ab-330e-4cab-ae30-d96baed8cf9c,2025-04-13 04:03:09,1d5e89e7-61ac-4dad-b572-de6a62088f5c,Christopher Kelly,Edit Patient Consent,Patient Record,f53f25d8-9e7a-4334-ad65-44efb2a5751f,624-584-5043,102.153.152.192,Pharmacy System,True,Clinical Care,2025-04-13 04:03:09
b2b6933f-f253-4147-9163-1e881d2ada74,2025-04-17 23:01:52,852bcb5e-708f-4d48-96d2-c19d3072a23d,Marilyn Gray,Add Medical Notes,Patient Record,6ed951ac-6155-4cdf-b807-852b5be62bef,710-725-9305,152.95.197.169,Pharmacy System,True,Clinical Care,2025-04-17 23:01:52
