consent_id,patient_id,nhs_number,consent_type,consent_given,recorded_date,recorded_by,consent_expiry_date,created_at,updated_at
09f8849b-e257-4d19-be12-5988e47d4e45,f53f25d8-9e7a-4334-ad65-44efb2a5751f,624-584-5043,Data Processing for Medical Care,True,2025-01-11,Holly Lowe-Harvey,2027-01-11,2025-01-11 00:00:00,2025-01-11 00:00:00
92072df8-9f29-4d7a-a6cb-255a0f0cafd3,f53f25d8-9e7a-4334-ad65-44efb2a5751f,624-584-5043,Share Data with Other NHS Trusts,True,2024-08-14,Duncan Evans-Hewitt,2026-08-14,2024-08-14 00:00:00,2024-08-14 00:00:00
228137da-8097-4e8b-98bb-b104aaec5bcf,f53f25d8-9e7a-4334-ad65-44efb2a5751f,624-584-5043,Research Use of Anonymized Data,True,2024-10-18,Ricky Jones-Patel,2026-10-18,2024-10-18 00:00:00,2024-10-18 00:00:00
1f2e6d0f-01ae-410b-9ed5-d5812776c418,f53f25d8-9e7a-4334-ad65-44efb2a5751f,624-584-5043,Contact for Clinical Trials,False,2025-02-12,Marie Bowen,2027-02-12,2025-02-12 00:00:00,2025-02-12 00:00:00
7a26b580-b2e9-496e-b1bd-9405cd836867,f53f25d8-9e7a-4334-ad65-44efb2a5751f,624-584-5043,Receive Health Newsletters,True,2025-01-02,Mark Kennedy,2027-01-02,2025-01-02 00:00:00,2025-01-02 00:00:00
eb3d429b-0794-46e6-a402-2851e1e2a0bc,ebaedcab-2a1f-4501-bd47-6f836abcb6d6,626-883-8548,Data Processing for Medical Care,True,2024-12-19,Naomi Barrett,2026-12-19,2024-12-19 00:00:00,2024-12-19 00:00:00
7b61e197-1fa7-4225-bc6f-dc4cc23374e7,ebaedcab-2a1f-4501-bd47-6f836abcb6d6,626-883-8548,Share Data with Other NHS Trusts,False,2024-12-22,Clifford Harris,2026-12-22,2024-12-22 00:00:00,2024-12-22 00:00:00
99f2bbb3-32d1-43df-8aef-e12b105c43b4,ebaedcab-2a1f-4501-bd47-6f836abcb6d6,626-883-8548,Research Use of Anonymized Data,False,2024-12-16,Dr Benjamin Allen,2026-12-16,2024-12-16 00:00:00,2024-12-16 00:00:00
6cf81548-97be-499f-93d8-c37f6cbad28e,ebaedcab-2a1f-4501-bd47-6f836abcb6d6,626-883-8548,Contact for Clinical Trials,False,2025-03-13,Mandy Duncan,2027-03-13,2025-03-13 00:00:00,2025-03-13 00:00:00
e1179fbc-c588-4f63-8024-178a548fe08f,ebaedcab-2a1f-4501-bd47-6f836abcb6d6,626-883-8548,Receive Health Newsletters,False,2024-10-22,Ms Amy Cooper,2026-10-22,2024-10-22 00:00:00,2024-10-22 00:00:00
9eaf397a-bc2c-4ea5-9647-27f706237c87,748ba421-9a3c-4e7c-ac6c-77b0fe124cc4,798-994-3816,Data Processing for Medical Care,True,2024-10-09,Dawn Edwards-Wallis,2026-10-09,2024-10-09 00:00:00,2024-10-09 00:00:00
